abbreviation,precinct,precinct_no_lead,registered_turnout_perc
2730,027030,27030,28.61
2731,027031,27031,28.46
2732,027032,27032,34.42
2733,027033,27033,31.82
2734,027034,27034,29.50
2735,027035,27035,19.07
2736,027036,27036,26.74
2737,027037,27037,43.92
2738,027038,27038,39.27
2739,027039,27039,56.01
2740,027040,27040,52.09
2741,027041,27041,45.90
2742,027042,27042,50.96
2743,027043,27043,51.01
2744,027044,27044,57.02
2745,027045,27045,57.06
2746,027046,27046,56.81
2747,027047,27047,44.66
2748,027048,27048,38.21
2749,027049,27049,46.93
2750,027050,27050,52.13
2751,027051,27051,50.68
2752,027052,27052,25.46
2753,027053,27053,25.58
2754,027054,27054,18.42
2755,027055,27055,24.17
2756,027056,27056,22.72
2757,027057,27057,19.97
2758,027058,27058,24.95
2759,027059,27059,21.32
2760,027060,27060,25.20
2761,027061,27061,24.13
2762,027062,27062,19.76
2763,027063,27063,22.28
2764,027064,27064,30.14
2765,027065,27065,23.81
2766,027066,27066,22.98
2767,027067,27067,24.32
2801,028001,28001,25.68
2802,028002,28002,27.45
2803,028003,28003,27.96
2804,028004,28004,33.69
2805,028005,28005,27.91
2806,028006,28006,28.39
2807,028007,28007,35.74
2808,028008,28008,26.00
2809,028009,28009,30.71
2810,028010,28010,27.43
2811,028011,28011,27.49
2812,028012,28012,30.64
2813,028013,28013,24.03
2814,028014,28014,33.95
2815,028015,28015,32.13
