abbreviation,precinct,precinct_no_lead,registered_voters,registered_cast,registered_turnout_perc
2619,026019,26019,1402,776,55
2620,026020,26020,745,389,52
2621,026021,26021,928,485,52
2622,026022,26022,720,425,59
2623,026023,26023,1151,653,56
2624,026024,26024,2033,1226,60
2625,026025,26025,1511,784,51
2626,026026,26026,1688,1021,60
2627,026027,26027,1369,881,64
2628,026028,26028,1155,739,63
2629,026029,26029,4054,2437,60
2630,026030,26030,918,586,63
2631,026031,26031,784,510,65
2632,026032,26032,1743,960,55
2633,026033,26033,1532,888,57
2701,027001,27001,2103,1383,65
2702,027002,27002,622,512,82
2703,027003,27003,635,461,72
2704,027004,27004,569,372,65
2705,027005,27005,2316,1559,67
2706,027006,27006,2940,1881,63
2707,027007,27007,1213,708,58
2708,027008,27008,2386,1546,64
2709,027009,27009,1429,972,68
2710,027010,27010,700,473,67
2711,027011,27011,2378,1518,63
2712,027012,27012,585,391,66
2713,027013,27013,2786,1571,56
2714,027014,27014,2479,1684,67
2715,027015,27015,2015,1317,65
2716,027016,27016,671,473,70
2717,027017,27017,1177,812,68
2718,027018,27018,1975,1130,57
2719,027019,27019,727,432,59
2720,027020,27020,2280,1550,67
2721,027021,27021,2326,1564,67
2722,027022,27022,2531,1696,67
2723,027023,27023,577,401,69
2724,027024,27024,607,358,58
2725,027025,27025,1257,810,64
2726,027026,27026,805,559,69
2727,027027,27027,1618,1056,65
2728,027028,27028,1265,767,60
2729,027029,27029,895,531,59
2730,027030,27030,1417,870,61
2731,027031,27031,2186,1447,66
2732,027032,27032,2316,1596,68
2733,027033,27033,2329,1567,67
2734,027034,27034,1422,755,53
2735,027035,27035,2814,1528,54
2736,027036,27036,920,448,48
2737,027037,27037,704,516,73
2738,027038,27038,1413,872,61
2739,027039,27039,834,680,81
2740,027040,27040,1467,1227,83
2741,027041,27041,1922,1510,78
2742,027042,27042,1727,1355,78
2743,027043,27043,784,671,85
2744,027044,27044,1205,990,82
2745,027045,27045,1783,1414,79
2746,027046,27046,866,728,84
2747,027047,27047,1172,836,71
2748,027048,27048,902,643,71
2749,027049,27049,2976,2368,79
2750,027050,27050,1162,937,80
2751,027051,27051,252,146,57
2752,027052,27052,2570,1383,53
2753,027053,27053,1544,733,47
2754,027054,27054,551,237,43
2755,027055,27055,753,312,41
2756,027056,27056,904,443,49
2757,027057,27057,1964,1009,51
2758,027058,27058,617,305,49
2759,027059,27059,905,499,55
2760,027060,27060,1543,989,64
2761,027061,27061,761,482,63
2762,027062,27062,1943,1245,64
2763,027063,27063,1918,1233,64
2764,027064,27064,1838,1314,71
2765,027065,27065,3050,2086,68
2766,027066,27066,2412,1690,70
2767,027067,27067,2138,1293,60
2801,028001,28001,1328,788,59
2802,028002,28002,2109,1308,62
2803,028003,28003,433,265,61
2804,028004,28004,677,412,60
2805,028005,28005,1581,993,62
2806,028006,28006,2372,1446,60
2807,028007,28007,1107,720,65
2808,028008,28008,1444,912,63
2809,028009,28009,1904,1131,59
2810,028010,28010,1998,1399,70
2811,028011,28011,1928,1248,64
2812,028012,28012,1445,1047,72
2813,028013,28013,1334,804,60
2814,028014,28014,553,302,54
2815,028015,28015,1865,1178,63
