   POLL_ID,CO,ELE,PRE,PART,PPLACEID,POLL_NAME,ADDRESS1,ADDRESS2,CITY,ST,ZIP,T_ACCESS,LEG,CO,JU,AP,CON,SCH,ORP,CEN,REPORTED,B,ISPUBLIC,OFFSPARK,MUNI,COLLEGE,COLLEGE_NAME,EARLY
1743,2,7,10,1,11568,Mayo Elementary School,1260 Mayo Ridge Road,,Edgewater,MD,-21037,1,30B,5,5,5,7,,,,2,S,1,0,,,,
1744,2,7,19,1,11569,Edgewater Community Library,25 Stepneys Lane,,Edgewater,MD,-21037,1,30B,5,5,5,7,,,,2,O,1,1,,,,
1745,2,1,4,1,11572,Brooklyn Park Middle School,200 Hammonds Lane,,Baltimore,MD,-21225,1,31A,2,5,5,1,,,,2,S,1,1,,,,
1746,2,1,13,1,14413,Belle Grove Elementary School,4502 Belle Grove Road,,Baltimore,MD,21225,1,31A,2,5,5,1,,,,2,S,,,,,,
1747,2,1,15,1,10037,Brooklyn Park Elementary School,200 14th Avenue,,Baltimore,MD,-21225,1,31A,2,5,5,1,,,,2,S,1,1,,,,
1748,2,1,16,1,10038,Brooklyn Park Community Library,1 11th Avenue East,,Baltimore,MD,-21225,1,31A,2,5,5,1,,,,2,O,1,1,,,,
1749,2,1,17,1,10036,Park Elementary School,201 11th Avenue East,,Baltimore,MD,21225,1,31A,2,5,5,1,,,,2,S,1,1,,,,
1750,2,1,18,1,11572,Brooklyn Park Middle School,200 Hammonds Lane,,Baltimore,MD,-21225,1,31A,2,5,5,1,,,,2,S,1,1,,,,
1751,2,2,8,1,10040,Glendale Elementary School,105 Carroll Road,,Glen Burnie,MD,-21060,1,31A,3,5,5,2,,,,2,S,1,1,,,,
1752,2,2,10,1,14266,Point Pleasant Elementary School #1,1450 Furnace Avenue,,Glen Burnie,MD,21060,1,31B,3,5,5,2,,,,2,S,1,1,,,,
1753,2,2,12,1,12970,Glen Burnie Regional Library,1010 Eastway,,Glen Burnie,MD,-21060,1,31A,3,5,5,2,,,,2,O,1,0,,,,
1754,2,3,1,1,14414,Northeast High School,1121 Duvall Highway,,Pasadena,MD,21122,1,31B,4,5,5,3,,,,2,S,,,,,,
1755,2,3,2,1,10054,Riviera Beach Elementary School,8515 Jenkins Road,,Pasadena,MD,-21122,1,31B,3,5,5,3,,,,2,S,1,1,,,,
1756,2,3,3,1,14414,Northeast High School,1121 Duvall Highway,,Pasadena,MD,21122,1,31B,4,5,5,3,,,,2,S,,,,,,
1757,2,3,4,1,10046,George Fox Middle School,7922 Outing Avenue,,Pasadena,MD,-21122,1,31B,4,5,5,3,,,,2,S,1,1,,,,
1758,2,3,5,1,10046,George Fox Middle School,7922 Outing Avenue,,Pasadena,MD,-21122,1,31B,4,5,5,3,,,,2,S,1,1,,,,
1759,2,3,6,1,10048,Solley Elementary School,7608 Solley Road,,Glen Burnie,MD,-21060,1,31B,3,5,5,3,,,,2,S,1,1,,,,
1760,2,3,7,1,10049,Sunset Elementary School,8572 Fort Smallwood Road,,Pasadena,MD,-21122,1,31B,4,5,5,3,,,,2,S,1,1,,,,
1761,2,3,8,1,10050,Marley Middle School,10 Davis Court,,Glen Burnie,MD,-21060,1,31A,3,5,5,3,,,,2,S,1,1,,,,
1762,2,3,10,1,12023,Chesapeake Bay Middle School - B Side,4804 Mountain Road,,Pasadena,MD,-21122,1,31B,4,5,5,3,,,,2,S,1,1,,,,
1763,2,3,11,1,10051,Bodkin Elementary School,8320 Ventnor Road,,Pasadena,MD,-21122,1,31B,3,5,5,3,,,,2,S,1,1,,,,
1764,2,3,12,1,12972,Fort Smallwood Elementary School,1720 Poplar Ridge Road,,Pasadena,MD,-21122,1,31B,3,5,5,3,,,,2,S,1,1,,,,
1765,2,3,13,1,10053,Lake Shore Elementary School,4531 Mountain Road,,Pasadena,MD,21122,1,31B,4,5,5,3,,,,2,S,1,1,,,,
1766,2,3,14,1,10054,Riviera Beach Elementary School,8515 Jenkins Road,,Pasadena,MD,-21122,1,31B,3,5,5,3,,,,2,S,1,1,,,,
1767,2,3,15,1,10055,Chesapeake High School,4798 Mountain Road,,Pasadena,MD,-21122,1,31B,3,5,5,3,,,,2,S,1,1,,,,
1768,2,3,16,1,14414,Northeast High School,1121 Duvall Highway,,Pasadena,MD,21122,1,31B,4,5,5,3,,,,2,S,,,,,,
1769,2,3,17,1,10056,Jacobsville Elementary School,3801 Mountain Road,,Pasadena,MD,-21122,1,31B,4,5,5,3,,,,2,S,1,1,,,,
1770,2,3,18,1,10053,Lake Shore Elementary School,4531 Mountain Road,,Pasadena,MD,21122,1,31B,4,5,5,3,,,,2,S,1,1,,,,
1771,2,5,9,1,14489,Folger McKinsey Elementary School,175 Arundel Beach Road,,Severna Park,MD,21146,1,33,4,5,5,5,,,,2,S,,,,,,
1772,2,5,10,1,10058,Woods Memorial Presbyterian Church,611 Baltimore Annapolis Blvd,,Severna Park,MD,21146,1,31B,4,5,5,5,,,,2,C,1,1,,,,
1773,2,5,14,1,10059,Severna Park Community Library,45 West McKinsey Road,,Severna Park,MD,-21146,1,33,4,5,5,5,,,,2,O,1,1,,,,
1774,2,5,16,1,14882,Severn River Middle School,241 Peninsula Farm Road,,Arnold,MD,21012,1,33,4,5,5,5,,,,2,S,1,,,,,
1775,2,1,1,1,10061,Linthicum Elementary School,101 School Lane,,Linthicum,MD,-21090,1,32,3,5,5,1,,,,2,S,1,1,,,,
1776,2,1,2,1,10062,Lindale Middle School,415 Andover Road,,Linthicum,MD,-21090,1,32,3,5,5,1,,,,2,S,1,1,,,,
1777,2,1,3,1,10067,North County High School,10 1st Avenue East,,Glen Burnie,MD,-21061,1,32,3,5,5,1,,,,2,S,1,1,,,,
1778,2,1,5,1,11059,Hebron-Harman Elementary School,7660 Ridge Chapel Road,,Hanover,MD,21076,1,32,2,5,5,1,,,,2,S,1,1,,,,
1779,2,1,6,1,10065,St. Mark United Methodist Church,1440 Dorsey Road,,Hanover,MD,21076,1,32,2,5,5,1,,,,2,C,1,1,,,,
